Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Китайский язык	Китайский язык 2022-2023 1-5 класс (ул.Барклая д.15 к.3) (платно)	Китайский язык 2022-2023 1-5 класс (ул.Барклая д.15 к.3) (платно) №4 5-10 класс	Ознакомительный	6 - 16		Нет		Групповая
Китайский язык	Китайский язык 2022-2023 1-5класс (Новозаводская д.19) (платно)	Китайский язык 2022-2023 1-5класс (Новозаводская д.19) (платно) №5 1-4 класс	Ознакомительный	6 - 16		Нет		Групповая
Китайский язык	Китайский язык 2022-2023 1-5класс (Новозаводская д.19) (платно)	Китайский язык 2022-2023 1-5класс (Новозаводская д.19) (платно) №6 5-10 класс	Ознакомительный	6 - 16		Нет		Групповая
Интеллектуальные игры	Логика+ 2022-2023 4 классы (Абубякирова ЛР - Филёвский б-р д.3 к.2) (платно)	Логика+ 2022-2023 4 классы (Абубякирова ЛР - Филёвский б-р д.3 к.2) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Английский язык	Английский язык для младших школьников 2022-2023 1-4 класс (1-4 кл - Осколкова МА; 3 кл - Прохоренкова АЮ - ул.Барклая д.15 к.3) (платно)	Английский язык для младших школьников 2022-2023 1-4 класс (Осколкова М.А. - ул.Барклая д.15 к.3) (платно) №7	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Новозаводская д.19) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Новозаводская д.19) (платно) 2,3 и 4 кл Гусейнли СС	Ознакомительный	6 - 11		Нет		Групповая
Русский язык и культура речи	Глубины русского языка 2022-2023 4 классы (Савкина С.Н. - Филёвский б-р д.3 к.2) (платно)	Глубины русского языка 2022-2023 4 классы (Савкина С.Н. - Филёвский б-р д.3 к.2) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Барклая 15-3) (бюджет)	8л Я выбираю профессию 2022-2023 8-11 класс (Барклая 15-3) (бюджет) Пашкина ОА	Ознакомительный	13 - 18		Да		Групповая
Английский язык	Английский язык для дошкольников 2022-2023 (Осколкова МА - Олеко Дундича д.5) (платно)	Английский язык для дошкольников 2022-2023 (ул. Олеко Дундича д.5) (платно) №2	Ознакомительный	3 - 6		Нет		Групповая
Социализация и общение	Логоритмика 2022-2023 (Грачева В.С. Котарыгина Ю.А. - Физкультурный пр-д 8) (платно)	Логоритмика 2022-2023 (Грачева В.С. Котарыгина Ю.А. - Физкультурный пр-д 8) (платно) №2	Ознакомительный	4 - 6		Нет		Групповая
