Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Технические устройства, приборы и механизмы	Юный техник 2022-2023 2-6 класс (Пензин СА - Новозаводская,19) (бюджет)	3-6 кл Юный техник 2022-2023 2-6 класс (Пензин СА - Новозаводская,19) (бюджет)	Ознакомительный	7 - 12		Да		Групповая
Военное дело	Юный патриот 2022-2023 2-6 класс ( Пензин С.А. - Новозаводская 19) (бюджет)	Юный патриот 2022-2023 2-5 класс ( Пензин С.А. - Новозаводская 19) (бюджет)	Ознакомительный	7 - 12		Да		Групповая
ЮИД (Юные инспектора дорожного движения)	ЮИДД 2022-2023 2-6 класс ( Пензин С.А. - Новозаводская 19) (бюджет)	ЮИДД 2022-2023 2-6 класс ( Пензин С.А. - Новозаводская 19) (бюджет)	Ознакомительный	7 - 12		Да		Групповая
Макетирование и моделирование технических объектов	Все в наших руках 2022-2023 (Петрова Л.В. - Тучковская 5) (сад)	Все в наших руках 2022-2023 (Петрова Л.В. - Тучковская 5) (сад)	Ознакомительный	5 - 6		Да		Групповая
Лего-конструирование и моделирование	Конструирование из ЛЕГО 2022-2023 (Новикова ЛН - Барклая 5-5) (платно)	Конструирование из ЛЕГО 2022-2023 3-5 (Новикова ЛН - Барклая 5-5) (платно)1гр	Ознакомительный	3 - 7		Нет		Групповая
Математические задачи повышенной сложности	Мир математики 2022-2023 3Л (Бычкова М.В - Барклая 15-3) (бюджет)	Мир математики 2022-2023 3Л (Бычкова М.В - Барклая 15-3) (бюджет)	Ознакомительный	8 - 11		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль-7 2022-2023 7М (Кузнецова Т.Г. - Новозаводская,19) (бюджет)	Математическая вертикаль-7 2022-2023 7М (Кузнецова Т.Г. - Новозаводская,19) (бюджет)	Ознакомительный	12 - 14		Да		Групповая
Математические задачи повышенной сложности	В мире математики 2022-2023 1М (Воробьева ВВ - Барклая д. 15 к.3) (бюджет)	Математические задачи повышенной сложности, В мире математики 2022-2023 1М (Воробьева ВВ - Барклая д. 15 к.3) (бюджет)	Ознакомительный	6 - 8		Да		Групповая
Математические задачи повышенной сложности	Математическая мозаика 2022-2023 2К (Фильчакова СВ - Барклая 15-3) (бюджет)	Математическая мозаика 2022-2023 2К (Фильчакова СВ - Барклая 15-3) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 1Ж (Осипова А.С. - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 1Ж (Осипова А.С. - Б.Филевская д.15) (платно)	Ознакомительный	6 - 7		Нет		Групповая
