Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Волейбол	Волейбол 10+ 2022-2023 5-11 классы (Кунин ИА/Хуснутдинов ФФ - Б.Филевская д.15) (платно)	Волейбол 10+ 2022-2023 8-11 классы (Хуснутдинов ФФ - Б.Филевская д.15) (платно) гр 2 Кунин ИА	Ознакомительный	10 - 18		Нет		Групповая
ОФП	ГТО на отлично 2022-2023 1-4 класс (Чумакова ЗВ - Б.Филевсая 15) (бюджет)	1-2 кл ГТО на отлично 2022-2023 1-4 класс (Чумакова ЗВ - Б.Филевсая 15) (бюджет) гр1	Ознакомительный	6 - 11		Да		Групповая
Баскетбол	Баскетбол 2022-2023 5-9 класс (Прыскалин РА - Новозаводская,19) (бюджет)	Баскетбол 2022-2023 5-9 класс (Прыскалин РА - Новозаводская,19) (бюджет)	Базовый	10 - 15		Да		Групповая
Художественная гимнастика	Художественная гимнастика "Колибри" 2022-2023 3-4 года, 1-4 класс (Веричева П - Б.Филевская 15) (платно)	Художественная гимнастика "Колибри" 2022-2023 3-4 года, 1-4 класс (Веричева П - Б.Филевская 15) (платно)4г	Ознакомительный	-		Нет		Групповая
ОФП	Подготовка к ГТО 2022-2023 5-11 кадетский класс (Теренина ЕМ, Воробьев АА - Филевский б-р 3-2, Филёвский б-р д.13-2) (бюджет)	8а Подготовка к ГТО 2022-2023 5-11 кадетский класс (Теренина Е.М. - Филёвский б-р д.13-2) (бюджет)	Ознакомительный	9 - 18		Да		Групповая
Фитнес-аэробика	Фитнес-аэробика 2022-2023 1-6 класс (Сафонова ОВ - Б.Филевская,15) (бюджет)	№7 2кл Фитнес-аэробика 2022-2023 1-6 класс (Сафонова ОВ - Б.Филевская,15) (бюджет)	Ознакомительный	6 - 13		Да		Групповая
ОФП	ГТО на отлично 2022-2023 1-4 класс (Чумакова ЗВ - Б.Филевсая 15) (бюджет)	3-4 кл ГТО на отлично 2022-2023 1-4 класс (Чумакова ЗВ - Б.Филевсая 15) (бюджет) гр 2	Ознакомительный	6 - 11		Да		Групповая
Баскетбол	Баскетбол «Звезда» 6+,11+ 2022-2023 1-6 класс (Бабинцев МЮ - Филёвский б-р д.3 к.2) (платно)	Баскетбол «Звезда» 6+ 2022-2023 1-6 класс (Бабинцев МЮ - Филёвский б-р д.3 к.2) (платно) №1	Ознакомительный	6 - 12		Нет		Групповая
ОФП	Ритмика для малышей 2022-2023 (Бокусова ВВ - Барклая 5-5) (платно)	Ритмика для малышей-1 2022-2023 (Бокусова ВВ - Барклая 5-5) (платно) №1	Ознакомительный	3 - 5		Нет		Групповая
Самбо	Самбо-3 7+,11+ 2022-2023 1-11 класс (Перепелицин МА- Филёвский б-р д.3 к.2) (платно)	Самбо-3 7+,11+ 2022-2023 1-11 класс (Перепелицин МА- Филёвский б-р д.3 к.2) (платно) №3	Ознакомительный	6 - 18		Нет		Групповая
Самбо	Самбо-2 7+,11+ 2022-2023 1-7 класс (Перепелицин МА- Б.Филевская 15) (платно)	Самбо-2 7+,11+ 2022-2023 1-7 класс (Перепелицин МА- Б.Филевская 15) (платно) №2	Ознакомительный	6 - 18		Нет		Групповая
Волейбол	Волейбол 2022-2023 5-9 класс (Бондаренко ЮН - Новозаводская,19) (бюджет)	8-9 кл Волейбол 2022-2023 5-9 класс (Бондаренко ЮН - Новозаводская,19) (бюджет) гр2	Ознакомительный	10 - 16		Да		Групповая
Дзюдо	Дзюдо ГНП 2022-2023 1-8 класс (Кисель ИН- Барклая 15-3) (платно)	ГНП-2 Дзюдо ГНП 2022-2023 1-8 класс (Кисель ИН- Барклая 15-3) (платно) №2	Ознакомительный	6 - 14		Нет		Групповая
Футбол	Футбол для школьников 2022-2023 1-9 класс (Шлеев ЮН - Филёвский б-р д.13 к.2) (платно)	Футбол для школьников 2022-2023 5-8 класс (Шлеев ЮН - Филёвский б-р д.13 к.2) (платно) гр 7	Ознакомительный	6 - 15		Нет		Групповая
Футбол	Футбол для дошкольников 2022-2023 (Прытков ДВ - Барклая 5-5) (платно)	Футбол для дошкольников 2022-2023 5-7 л(Прытков ДВ - Барклая 5-5) (платно)ГР2	Ознакомительный	3 - 7		Нет		Групповая
